+2020-04-11-00.00.00 AirForce1  N°1.99633 E°79.30124
+2020-05-08-00.00.00 AirForce4  N°13.24297 E°75.69611
+2020-05-08-00.00.00 Army4  N°21.51652 E°77.21755
+2020-05-08-00.00.00 Navy4  N°13.53078 E°82.92730
+2020-05-08-00.00.00 AirForce5  N°5.30132 E°73.73625
+2020-05-08-00.00.00 Army5  N°16.66004 E°77.86842
+2020-05-08-00.00.00 Navy5  N°6.21326 E°77.99020
+2020-05-08-00.00.00 AirForce6  N°8.37005 E°90.92215
+2020-05-08-00.00.00 Army6  N°27.12296 E°76.32321
+2020-05-08-00.00.00 Navy6  N°3.23337 E°67.01624
+2020-05-08-00.00.00 AirForce7  N°16.44885 E°84.85157
+2020-05-08-00.00.00 Army7  N°17.75122 E°78.03801
+2020-05-08-00.00.00 Navy7  N°8.63434 E°63.38888
+2020-05-08-00.00.00 AirForce8  N°5.30634 E°87.55901
+2020-05-08-00.00.00 Army8  N°21.41278 E°80.10353
+2020-05-08-00.00.00 Navy8  N°3.78145 E°76.88263
+2020-05-08-00.00.00 AirForce9  N°20.10355 E°82.76185
+2020-05-08-00.00.00 Army9  N°17.40341 E°79.96593
+2020-05-08-00.00.00 Navy9  N°13.09333 E°68.36677
+2020-05-08-00.00.00 AirForce10  N°12.65927 E°91.66031
+2020-05-08-00.00.00 Army10  N°25.64970 E°73.62727
+2020-05-08-00.00.00 Navy10  N°11.87490 E°68.65202
+2020-05-08-00.00.00 AirForce11  N°23.69558 E°85.59668
+2020-05-08-00.00.00 Army11  N°16.86415 E°75.65888
+2020-05-08-00.00.00 Navy11  N°2.94641 E°75.18407
+2020-05-08-00.00.00 AirForce12  N°8.00447 E°70.71998
+2020-05-08-00.00.00 Army12  N°25.77027 E°77.99159
+2020-05-08-00.00.00 Navy12  N°17.29012 E°88.81332
+2020-05-08-00.00.00 AirForce13  N°22.11042 E°91.00654
+2020-05-08-00.00.00 Army13  N°13.61905 E°78.46706
+2020-05-08-00.00.00 Navy13  N°6.85605 E°106.34192
+2020-05-08-00.00.00 AirForce14  N°24.86814 E°76.73187
+2020-05-08-00.00.00 Army14  N°21.19147 E°77.77248
+2020-05-08-00.00.00 Navy14  N°0.95160 E°75.59799
+2020-05-08-00.00.00 AirForce15  N°16.06278 E°83.11083
+2020-05-08-00.00.00 Army15  N°16.37399 E°75.65975
+2020-05-08-00.00.00 Navy15  N°4.76021 E°80.84556
+2020-05-08-00.00.00 AirForce16  N°9.45607 E°86.11237
+2020-05-08-00.00.00 Army16  N°26.06134 E°78.84801
+2020-05-08-00.00.00 Navy16  N°12.33063 E°69.19295
+2020-05-08-00.00.00 AirForce17  N°13.52792 E°78.40733
+2020-05-08-00.00.00 Army17  N°18.56869 E°75.83177
+2020-05-08-00.00.00 Navy17  N°1.85739 E°74.31263
+2020-05-08-00.00.00 AirForce18  N°15.98305 E°77.17448
+2020-05-08-00.00.00 Army18  N°26.28239 E°76.18170
+2020-05-08-00.00.00 Navy18  N°16.47477 E°39.01800
+2020-05-08-00.00.00 AirForce19  N°20.26230 E°87.16070
+2020-05-08-00.00.00 Army19  N°15.04989 E°79.85260
+2020-05-08-00.00.00 Navy19  N°13.61555 E°111.82195
+2020-05-08-00.00.00 AirForce20  N°17.94116 E°83.82306
+2020-05-08-00.00.00 Army20  N°24.38344 E°80.31690
+2020-05-08-00.00.00 Navy20  N°2.03712 E°78.01456
+2020-05-08-00.00.00 AirForce21  N°22.13884 E°77.79898
+2020-05-08-00.00.00 Army21  N°19.32765 E°78.39313
+2020-05-08-00.00.00 Navy21  N°1.84801 E°77.72126
+2020-05-08-00.00.00 AirForce22  N°9.83477 E°70.44311
+2020-05-08-00.00.00 Army22  N°24.38608 E°82.47989
+2020-05-08-00.00.00 Navy22  N°7.39280 E°112.44598
+2020-05-08-00.00.00 AirForce23  N°3.16631 E°74.32918
+2020-05-08-00.00.00 Army23  N°17.69333 E°78.52511
+2020-05-08-00.00.00 Navy23  N°2.91389 E°79.09265
+2020-05-08-00.00.00 AirForce24  N°10.12132 E°71.91533
+2020-05-08-00.00.00 Army24  N°25.06815 E°75.95157
+2020-05-08-00.00.00 Navy24  N°10.96428 E°81.23385
+2020-05-08-00.00.00 AirForce25  N°15.14720 E°74.83466
+2020-05-08-00.00.00 Army25  N°17.30367 E°75.07405
+2020-05-08-00.00.00 Navy25  N°15.68572 E°102.95213
+2020-05-08-00.00.00 AirForce26  N°17.07121 E°79.68529
+2020-05-08-00.00.00 Army26  N°21.07841 E°76.55898
+2020-05-08-00.00.00 Navy26  N°3.50766 E°77.27478
+2020-05-08-00.00.00 AirForce27  N°11.61316 E°69.70212
+2020-05-08-00.00.00 Army27  N°15.00424 E°80.85901
+2020-05-08-00.00.00 Navy27  N°13.52386 E°49.58078
+2020-05-08-00.00.00 AirForce28  N°22.68012 E°88.86378
+2020-05-08-00.00.00 Army28  N°26.76107 E°76.30370
+2020-05-08-00.00.00 Navy28  N°15.93614 E°77.49139
+2020-05-08-00.00.00 AirForce29  N°8.21733 E°73.86486
+2020-05-08-00.00.00 Army29  N°14.99452 E°75.61629
+2020-05-08-00.00.00 Navy29  N°0.35688 E°75.84929
+2020-05-08-00.00.00 AirForce30  N°14.02680 E°94.54445
+2020-05-08-00.00.00 Army30  N°27.92530 E°79.18986
+2020-05-08-00.00.00 Navy30  N°6.71351 E°70.33849
+2020-05-08-00.00.00 AirForce31  N°9.90599 E°93.07382
+2020-05-08-00.00.00 Army31  N°19.15505 E°79.44088
+2020-05-08-00.00.00 Navy31  N°9.45981 E°66.62603
+2020-05-08-00.00.00 AirForce32  N°10.49833 E°83.69823
+2020-05-08-00.00.00 Army32  N°26.18229 E°76.49767
+2020-05-08-00.00.00 Navy32  N°1.26125 E°74.39239
+2020-05-08-00.00.00 AirForce33  N°3.06294 E°85.99723
+2020-05-08-00.00.00 Army33  N°15.53134 E°79.40229
+2020-05-08-00.00.00 Navy33  N°13.12133 E°103.50567
+2020-05-08-00.00.00 AirForce34  N°4.07313 E°69.63552
+2020-05-08-00.00.00 Army34  N°28.04640 E°77.54841
+2020-05-08-00.00.00 Navy34  N°14.54913 E°68.20977
+2020-05-08-00.00.00 AirForce35  N°8.95157 E°84.81600
+2020-05-08-00.00.00 Army35  N°15.77125 E°75.59355
+2020-05-08-00.00.00 Navy35  N°0.64292 E°79.06852
+2020-05-08-00.00.00 AirForce36  N°22.35487 E°81.04779
+2020-05-08-00.00.00 Army36  N°25.05811 E°81.54256
+2020-05-08-00.00.00 Navy36  N°9.76559 E°42.56522
+2020-05-08-00.00.00 AirForce37  N°20.25402 E°67.89808
+2020-05-08-00.00.00 Army37  N°17.05576 E°72.91101
+2020-05-08-00.00.00 Navy37  N°5.42442 E°83.90715
+2020-05-08-00.00.00 AirForce38  N°16.59072 E°84.70501
+2020-05-08-00.00.00 Army38  N°23.54142 E°76.56003
+2020-05-08-00.00.00 Navy38  N°4.97675 E°75.26088
+2020-05-08-00.00.00 AirForce39  N°22.65908 E°69.56583
+2020-05-08-00.00.00 Army39  N°18.03333 E°79.10418
+2020-05-08-00.00.00 Navy39  N°12.90616 E°54.54173
+2020-05-08-00.00.00 AirForce40  N°10.45109 E°71.59949
+2020-05-08-00.00.00 Army40  N°24.69351 E°79.67627
+2020-05-08-00.00.00 Navy40  N°4.77513 E°87.89789
+2020-05-08-00.00.00 AirForce41  N°12.98619 E°93.64343
+2020-05-08-00.00.00 Army41  N°16.33250 E°78.00967
+2020-05-08-00.00.00 Navy41  N°5.89974 E°76.54590
+2020-05-08-00.00.00 AirForce42  N°4.26718 E°91.70273
+2020-05-08-00.00.00 Army42  N°22.69629 E°75.71306
+2020-05-08-00.00.00 Navy42  N°18.08360 E°51.88935
+2020-05-08-00.00.00 AirForce43  N°1.43525 E°88.72299
+2020-05-08-00.00.00 Army43  N°16.95757 E°73.72918
+2020-05-08-00.00.00 Navy43  N°9.74067 E°117.76687
+2020-05-08-00.00.00 AirForce44  N°4.09120 E°87.88888
+2020-05-08-00.00.00 Army44  N°29.69468 E°78.65599
+2020-05-08-00.00.00 Navy44  N°5.24322 E°74.22397
+2020-05-08-00.00.00 AirForce45  N°10.84916 E°72.54692
+2020-05-08-00.00.00 Army45  N°16.85022 E°74.81326
+2020-05-08-00.00.00 Navy45  N°8.76543 E°98.56952
+2020-05-08-00.00.00 AirForce46  N°19.68982 E°86.01928
+2020-05-08-00.00.00 Army46  N°26.96988 E°75.64529
+2020-05-08-00.00.00 Navy46  N°11.20109 E°99.82653
+2020-05-08-00.00.00 AirForce47  N°12.78239 E°88.57234
+2020-05-08-00.00.00 Army47  N°16.23065 E°76.72578
+2020-05-08-00.00.00 Navy47  N°3.96689 E°77.88023
+2020-05-08-00.00.00 AirForce48  N°5.27876 E°86.55555
+2020-05-08-00.00.00 Army48  N°21.08424 E°76.85608
+2020-05-08-00.00.00 Navy48  N°16.68631 E°44.19517
+2020-05-08-00.00.00 AirForce49  N°1.86456 E°82.65718
+2020-05-08-00.00.00 Army49  N°14.31643 E°75.85184
+2020-05-08-00.00.00 Navy49  N°12.56722 E°90.57678
+2020-05-08-00.00.00 AirForce50  N°7.54498 E°70.49876
+2020-05-08-00.00.00 Army50  N°27.60506 E°77.39164
+2020-05-08-00.00.00 Navy50  N°2.07636 E°79.90716
+2020-05-09-00.00.00 AirForce1  N°9.10471 E°71.64593
+2020-05-09-00.00.00 Army1  N°16.21929 E°73.70313
+2020-05-09-00.00.00 Navy1  N°13.00502 E°69.55737
+2020-05-09-00.00.00 AirForce2  N°5.92415 E°69.73063
+2020-05-09-00.00.00 Army2  N°22.83376 E°81.99207
+2020-05-09-00.00.00 Navy2  N°6.16924 E°76.50474
+2020-05-09-00.00.00 AirForce3  N°10.47436 E°78.57104
+2020-05-09-00.00.00 Army3  N°18.90064 E°76.31153
+2020-05-09-00.00.00 Navy3  N°16.81460 E°67.74733
+2020-05-09-00.00.00 AirForce4  N°17.53042 E°90.56911
+2020-05-09-00.00.00 Army4  N°20.76009 E°77.72138
+2020-05-09-00.00.00 Navy4  N°14.01629 E°73.00149
+2020-05-09-00.00.00 AirForce5  N°20.57704 E°70.79329
+2020-05-09-00.00.00 Army5  N°17.68230 E°77.19453
+2020-05-09-00.00.00 Navy5  N°4.23406 E°80.10598
+2020-05-09-00.00.00 AirForce6  N°6.04397 E°82.92293
+2020-05-09-00.00.00 Army6  N°21.98292 E°75.03382
+2020-05-09-00.00.00 Navy6  N°9.52007 E°50.06522
+2020-05-09-00.00.00 AirForce7  N°21.15329 E°69.18776
+2020-05-09-00.00.00 Army7  N°14.98545 E°76.97154
+2020-05-09-00.00.00 Navy7  N°6.04049 E°83.07338
+2020-05-09-00.00.00 AirForce8  N°25.83462 E°75.87171
+2020-05-09-00.00.00 Army8  N°23.34763 E°73.89597
+2020-05-09-00.00.00 Navy8  N°6.59606 E°76.90294
+2020-05-09-00.00.00 AirForce9  N°22.16388 E°78.10821
+2020-05-09-00.00.00 Army9  N°15.39698 E°74.37118
+2020-05-09-00.00.00 Navy9  N°13.30137 E°43.33726
+2020-05-09-00.00.00 AirForce10  N°16.41418 E°80.76607
+2020-05-09-00.00.00 Army10  N°21.59370 E°77.03085
+2020-05-09-00.00.00 Navy10  N°6.18311 E°94.29374
+2020-05-09-00.00.00 AirForce11  N°20.57941 E°71.61928
+2020-05-09-00.00.00 Army11  N°16.02910 E°73.00632
+2020-05-09-00.00.00 Navy11  N°0.62306 E°76.91460
+2020-05-09-00.00.00 AirForce12  N°23.75180 E°81.27043
+2020-05-09-00.00.00 Army12  N°22.69813 E°80.90300
+2020-05-09-00.00.00 Navy12  N°15.77978 E°100.06022
+2020-05-09-00.00.00 AirForce13  N°3.34135 E°82.74569
+2020-05-09-00.00.00 Army13  N°17.05990 E°79.08617
+2020-05-09-00.00.00 Navy13  N°8.04891 E°69.27588
+2020-05-09-00.00.00 AirForce14  N°21.16002 E°73.67985
+2020-05-09-00.00.00 Army14  N°25.48444 E°82.73146
+2020-05-09-00.00.00 Navy14  N°3.77910 E°78.38415
+2020-05-09-00.00.00 AirForce15  N°13.58060 E°74.69237
+2020-05-09-00.00.00 Army15  N°13.92497 E°79.51681
+2020-05-09-00.00.00 Navy15  N°10.06897 E°88.28294
+2020-05-09-00.00.00 AirForce16  N°9.64336 E°71.09317
+2020-05-09-00.00.00 Army16  N°22.67124 E°74.17827
+2020-05-09-00.00.00 Navy16  N°15.51480 E°97.51501
+2020-05-09-00.00.00 AirForce17  N°18.96362 E°80.98233
+2020-05-09-00.00.00 Army17  N°17.88342 E°76.59661
+2020-05-09-00.00.00 Navy17  N°4.79058 E°77.62416
+2020-05-09-00.00.00 AirForce18  N°21.63056 E°80.80981
+2020-05-09-00.00.00 Army18  N°21.01174 E°77.59686
+2020-05-09-00.00.00 Navy18  N°12.96652 E°54.71394
+2020-05-09-00.00.00 AirForce19  N°16.32092 E°66.09868
+2020-05-09-00.00.00 Army19  N°15.71346 E°80.28999
+2020-05-09-00.00.00 Navy19  N°5.57492 E°87.58049
+2020-05-09-00.00.00 AirForce20  N°13.27275 E°83.48668
+2020-05-09-00.00.00 Army20  N°26.33675 E°74.12769
+2020-05-09-00.00.00 Navy20  N°4.06317 E°78.98564
+2020-05-09-00.00.00 AirForce21  N°23.40301 E°71.30615
+2020-05-09-00.00.00 Army21  N°17.81509 E°78.91440
+2020-05-09-00.00.00 Navy21  N°19.38389 E°48.25081
+2020-05-09-00.00.00 AirForce22  N°22.99930 E°79.00030
+2020-05-09-00.00.00 Army22  N°28.73742 E°76.62749
+2020-05-09-00.00.00 Navy22  N°7.53083 E°104.06568
+2020-05-09-00.00.00 AirForce23  N°25.25378 E°87.30357
+2020-05-09-00.00.00 Army23  N°14.12032 E°79.04090
+2020-05-09-00.00.00 Navy23  N°1.96863 E°77.62437
+2020-05-09-00.00.00 AirForce24  N°1.66650 E°83.90042
+2020-05-09-00.00.00 Army24  N°21.59545 E°81.57277
+2020-05-09-00.00.00 Navy24  N°14.49224 E°73.49674
+2020-05-09-00.00.00 AirForce25  N°13.53139 E°78.24144
+2020-05-09-00.00.00 Army25  N°18.24649 E°76.30140
+2020-05-09-00.00.00 Navy25  N°11.05033 E°63.36469
+2020-05-09-00.00.00 AirForce26  N°23.95958 E°83.78235
+2020-05-09-00.00.00 Army26  N°27.83686 E°75.60124
+2020-05-09-00.00.00 Navy26  N°3.52453 E°74.44248
+2020-05-09-00.00.00 AirForce27  N°14.69108 E°84.07422
+2020-05-09-00.00.00 Army27  N°16.55826 E°75.68162
+2020-05-09-00.00.00 Navy27  N°10.97693 E°104.79282
+2020-05-09-00.00.00 AirForce28  N°20.06724 E°72.80157
+2020-05-09-00.00.00 Army28  N°28.56832 E°76.20788
+2020-05-09-00.00.00 Navy28  N°14.10912 E°104.67698
+2020-05-09-00.00.00 AirForce29  N°7.08955 E°69.90623
+2020-05-09-00.00.00 Army29  N°18.24807 E°80.23382
+2020-05-09-00.00.00 Navy29  N°0.93882 E°78.87987
+2020-05-09-00.00.00 AirForce30  N°22.79306 E°84.62605
+2020-05-09-00.00.00 Army30  N°25.66275 E°78.50671
+2020-05-09-00.00.00 Navy30  N°1.65901 E°64.84928
+2020-05-09-00.00.00 AirForce31  N°14.58946 E°78.07663
+2020-05-09-00.00.00 Army31  N°18.80707 E°79.45024
+2020-05-09-00.00.00 Navy31  N°16.30468 E°76.90645
+2020-05-09-00.00.00 AirForce32  N°5.30940 E°68.50763
+2020-05-09-00.00.00 Army32  N°27.05628 E°77.55489
+2020-05-09-00.00.00 Navy32  N°3.71612 E°75.00947
+2020-05-09-00.00.00 AirForce33  N°22.59407 E°76.79189
+2020-05-09-00.00.00 Army33  N°18.55082 E°80.09023
+2020-05-09-00.00.00 Navy33  N°18.49848 E°76.38430
+2020-05-09-00.00.00 AirForce34  N°25.06128 E°75.12050
+2020-05-09-00.00.00 Army34  N°26.90791 E°76.33180
+2020-05-09-00.00.00 Navy34  N°6.56508 E°86.70714
+2020-05-09-00.00.00 AirForce35  N°8.96852 E°90.24333
+2020-05-09-00.00.00 Army35  N°15.35510 E°77.22084
+2020-05-09-00.00.00 Navy35  N°5.34252 E°75.14586
+2020-05-09-00.00.00 AirForce36  N°3.81077 E°70.23800
+2020-05-09-00.00.00 Army36  N°23.50440 E°76.19664
+2020-05-09-00.00.00 Navy36  N°8.44234 E°35.65717
+2020-05-09-00.00.00 AirForce37  N°4.97774 E°82.35680
+2020-05-09-00.00.00 Army37  N°17.68093 E°73.03959
+2020-05-09-00.00.00 Navy37  N°17.01451 E°92.71881
+2020-05-09-00.00.00 AirForce38  N°19.98063 E°91.46414
+2020-05-09-00.00.00 Army38  N°22.69796 E°81.88548
+2020-05-09-00.00.00 Navy38  N°3.50819 E°78.39260
+2020-05-09-00.00.00 AirForce39  N°20.55769 E°87.86935
+2020-05-09-00.00.00 Army39  N°17.56067 E°75.21701
+2020-05-09-00.00.00 Navy39  N°13.76850 E°57.98791
+2020-05-09-00.00.00 AirForce40  N°15.92277 E°71.39758
+2020-05-09-00.00.00 Army40  N°29.77589 E°78.01002
+2020-05-09-00.00.00 Navy40  N°8.02623 E°96.98200
+2020-05-09-00.00.00 AirForce41  N°23.28455 E°85.10889
+2020-05-09-00.00.00 Army41  N°17.77404 E°79.99901
+2020-05-09-00.00.00 Navy41  N°3.04488 E°77.17121
+2020-05-09-00.00.00 AirForce42  N°13.66774 E°71.37513
+2020-05-09-00.00.00 Army42  N°21.57096 E°76.20870
+2020-05-09-00.00.00 Navy42  N°5.95166 E°75.71282
+2020-05-09-00.00.00 AirForce43  N°4.22753 E°68.59123
+2020-05-09-00.00.00 Army43  N°15.17114 E°77.76356
+2020-05-09-00.00.00 Navy43  N°8.50313 E°97.03671
+2020-05-09-00.00.00 AirForce44  N°16.61362 E°74.09943
+2020-05-09-00.00.00 Army44  N°22.93330 E°80.07952
+2020-05-09-00.00.00 Navy44  N°5.02415 E°73.92118
+2020-05-09-00.00.00 AirForce45  N°26.04462 E°81.88632
+2020-05-09-00.00.00 Army45  N°18.82004 E°75.38172
+2020-05-09-00.00.00 Navy45  N°18.43820 E°74.53126
+2020-05-09-00.00.00 AirForce46  N°11.23407 E°88.54246
+2020-05-09-00.00.00 Army46  N°28.55287 E°81.34729
+2020-05-09-00.00.00 Navy46  N°9.01306 E°62.07692
+2020-05-09-00.00.00 AirForce47  N°4.64009 E°85.98539
+2020-05-09-00.00.00 Army47  N°16.64460 E°80.50507
+2020-05-09-00.00.00 Navy47  N°2.48536 E°77.51156
+2020-05-09-00.00.00 AirForce48  N°6.93657 E°80.50767
+2020-05-09-00.00.00 Army48  N°27.60218 E°74.59921
+2020-05-09-00.00.00 Navy48  N°14.68850 E°85.96270
+2020-05-09-00.00.00 AirForce49  N°-0.12526 E°82.73762
+2020-05-09-00.00.00 Army49  N°19.61700 E°76.97149
+2020-05-09-00.00.00 Navy49  N°13.23089 E°102.09970
+2020-05-09-00.00.00 AirForce50  N°20.37413 E°91.57967
+2020-05-09-00.00.00 Army50  N°26.20559 E°82.60545
+2020-05-09-00.00.00 Navy50  N°1.54537 E°74.81467
+2020-05-10-00.00.00 AirForce1  N°5.95123 E°82.21886
+2020-05-10-00.00.00 Army1  N°18.31501 E°77.21394
+2020-05-10-00.00.00 Navy1  N°16.13544 E°102.72954
+2020-05-10-00.00.00 AirForce2  N°20.48710 E°88.36074
+2020-05-10-00.00.00 Army2  N°21.46421 E°78.13001
+2020-05-10-00.00.00 Navy2  N°5.42108 E°78.99856
+2020-05-10-00.00.00 AirForce3  N°9.14178 E°89.64076
+2020-05-10-00.00.00 Army3  N°17.54760 E°81.27099
+2020-05-10-00.00.00 Navy3  N°17.31629 E°90.90990
+2020-05-10-00.00.00 AirForce4  N°15.43020 E°91.26729
+2020-05-10-00.00.00 Army4  N°29.38725 E°78.77403
+2020-05-10-00.00.00 Navy4  N°14.90288 E°78.72234
+2020-05-10-00.00.00 AirForce5  N°6.03522 E°83.40113
+2020-05-10-00.00.00 Army5  N°16.72500 E°80.19875
+2020-05-10-00.00.00 Navy5  N°2.66262 E°79.39448
+2020-05-10-00.00.00 AirForce6  N°13.84309 E°88.77219
+2020-05-10-00.00.00 Army6  N°27.89114 E°81.39693
+2020-05-10-00.00.00 Navy6  N°3.09564 E°71.12864
+2020-05-10-00.00.00 AirForce7  N°9.57453 E°79.17210
+2020-05-10-00.00.00 Army7  N°17.66675 E°73.89911
+2020-05-10-00.00.00 Navy7  N°15.49326 E°101.19516
+2020-05-10-00.00.00 AirForce8  N°16.76240 E°78.25324
+2020-05-10-00.00.00 Army8  N°21.84483 E°80.97528
+2020-05-10-00.00.00 Navy8  N°0.78139 E°76.49878
+2020-05-10-00.00.00 AirForce9  N°0.63888 E°77.48427
+2020-05-10-00.00.00 Army9  N°15.72990 E°78.33959
+2020-05-10-00.00.00 Navy9  N°14.99513 E°52.00104
+2020-05-10-00.00.00 AirForce10  N°0.86475 E°79.01012
+2020-05-10-00.00.00 Army10  N°24.34595 E°74.35864
+2020-05-10-00.00.00 Navy10  N°7.11202 E°92.31391
+2020-05-10-00.00.00 AirForce11  N°5.95727 E°89.74793
+2020-05-10-00.00.00 Army11  N°16.97124 E°79.98934
+2020-05-10-00.00.00 Navy11  N°0.87780 E°77.12671
+2020-05-10-00.00.00 AirForce12  N°13.93778 E°65.58419
+2020-05-10-00.00.00 Army12  N°24.04697 E°77.35918
+2020-05-10-00.00.00 Navy12  N°6.32315 E°72.90714
+2020-05-10-00.00.00 AirForce13  N°22.88466 E°85.21563
+2020-05-10-00.00.00 Army13  N°14.80416 E°73.21725
+2020-05-10-00.00.00 Navy13  N°14.19417 E°67.69707
+2020-05-10-00.00.00 AirForce14  N°18.17591 E°93.35174
+2020-05-10-00.00.00 Army14  N°28.00426 E°74.88963
+2020-05-10-00.00.00 Navy14  N°2.72122 E°78.92619
+2020-05-10-00.00.00 AirForce15  N°20.27253 E°69.27258
+2020-05-10-00.00.00 Army15  N°14.22134 E°75.49049
+2020-05-10-00.00.00 Navy15  N°13.47310 E°106.45985
+2020-05-10-00.00.00 AirForce16  N°5.63967 E°71.41204
+2020-05-10-00.00.00 Army16  N°23.09060 E°76.91159
+2020-05-10-00.00.00 Navy16  N°12.77984 E°86.89725
+2020-05-10-00.00.00 AirForce17  N°17.26988 E°86.24155
+2020-05-10-00.00.00 Army17  N°16.12406 E°75.95094
+2020-05-10-00.00.00 Navy17  N°1.12330 E°76.02106
+2020-05-10-00.00.00 AirForce18  N°2.31950 E°73.01201
+2020-05-10-00.00.00 Army18  N°26.52352 E°75.85820
+2020-05-10-00.00.00 Navy18  N°15.05227 E°25.20003
+2020-05-10-00.00.00 AirForce19  N°17.93655 E°90.00032
+2020-05-10-00.00.00 Army19  N°16.72109 E°80.97165
+2020-05-10-00.00.00 Navy19  N°13.18864 E°64.25859
+2020-05-10-00.00.00 AirForce20  N°8.49096 E°74.71233
+2020-05-10-00.00.00 Army20  N°22.64467 E°75.23614
+2020-05-10-00.00.00 Navy20  N°5.83583 E°79.03814
+2020-05-10-00.00.00 AirForce21  N°23.99448 E°74.13342
+2020-05-10-00.00.00 Army21  N°14.73584 E°80.41167
+2020-05-10-00.00.00 Navy21  N°13.26413 E°105.60583
+2020-05-10-00.00.00 AirForce22  N°24.53686 E°71.71255
+2020-05-10-00.00.00 Army22  N°23.16530 E°76.15366
+2020-05-10-00.00.00 Navy22  N°11.81303 E°88.94194
+2020-05-10-00.00.00 AirForce23  N°17.99248 E°84.34141
+2020-05-10-00.00.00 Army23  N°18.86026 E°75.61550
+2020-05-10-00.00.00 Navy23  N°5.13313 E°74.59765
+2020-05-10-00.00.00 AirForce24  N°12.29018 E°77.05695
+2020-05-10-00.00.00 Army24  N°25.20514 E°77.21185
+2020-05-10-00.00.00 Navy24  N°14.40591 E°43.50922
+2020-05-10-00.00.00 AirForce25  N°10.22948 E°71.85496
+2020-05-10-00.00.00 Army25  N°15.26444 E°73.37933
+2020-05-10-00.00.00 Navy25  N°5.18602 E°99.22021
+2020-05-10-00.00.00 AirForce26  N°4.38585 E°90.13114
+2020-05-10-00.00.00 Army26  N°26.79483 E°76.13266
+2020-05-10-00.00.00 Navy26  N°1.48799 E°79.81374
+2020-05-10-00.00.00 AirForce27  N°20.49226 E°90.63392
+2020-05-10-00.00.00 Army27  N°17.86559 E°79.69119
+2020-05-10-00.00.00 Navy27  N°9.39902 E°91.63945
+2020-05-10-00.00.00 AirForce28  N°25.57574 E°74.45486
+2020-05-10-00.00.00 Army28  N°21.80980 E°77.82658
+2020-05-10-00.00.00 Navy28  N°12.08236 E°96.26373
+2020-05-10-00.00.00 AirForce29  N°8.91806 E°88.19145
+2020-05-10-00.00.00 Army29  N°14.94234 E°79.22879
+2020-05-10-00.00.00 Navy29  N°5.49780 E°78.11906
+2020-05-10-00.00.00 AirForce30  N°8.41949 E°91.42304
+2020-05-10-00.00.00 Army30  N°25.91858 E°79.24217
+2020-05-10-00.00.00 Navy30  N°3.82133 E°66.10842
+2020-05-10-00.00.00 AirForce31  N°3.62326 E°78.61033
+2020-05-10-00.00.00 Army31  N°15.32035 E°79.98940
+2020-05-10-00.00.00 Navy31  N°12.92860 E°74.72116
+2020-05-10-00.00.00 AirForce32  N°10.96345 E°66.84001
+2020-05-10-00.00.00 Army32  N°23.97915 E°76.97564
+2020-05-10-00.00.00 Navy32  N°4.98460 E°77.10754
+2020-05-10-00.00.00 AirForce33  N°17.89658 E°75.17042
+2020-05-10-00.00.00 Army33  N°14.71939 E°75.71242
+2020-05-10-00.00.00 Navy33  N°16.04927 E°29.37093
+2020-05-10-00.00.00 AirForce34  N°13.73077 E°84.45675
+2020-05-10-00.00.00 Army34  N°23.87848 E°74.90868
+2020-05-10-00.00.00 Navy34  N°6.21742 E°87.70650
+2020-05-10-00.00.00 AirForce35  N°22.28209 E°83.97367
+2020-05-10-00.00.00 Army35  N°18.98867 E°79.43016
+2020-05-10-00.00.00 Navy35  N°4.53545 E°80.38190
+2020-05-10-00.00.00 AirForce36  N°11.52538 E°80.05787
+2020-05-10-00.00.00 Army36  N°25.88982 E°78.26067
+2020-05-10-00.00.00 Navy36  N°9.72749 E°65.44203
+2020-05-10-00.00.00 AirForce37  N°16.32429 E°65.57827
+2020-05-10-00.00.00 Army37  N°16.03131 E°78.35433
+2020-05-10-00.00.00 Navy37  N°11.28760 E°83.61223
+2020-05-10-00.00.00 AirForce38  N°12.36505 E°84.64020
+2020-05-10-00.00.00 Army38  N°27.72825 E°76.12958
+2020-05-10-00.00.00 Navy38  N°3.52369 E°74.70661
+2020-05-10-00.00.00 AirForce39  N°10.06457 E°75.87317
+2020-05-10-00.00.00 Army39  N°18.44008 E°80.04908
+2020-05-10-00.00.00 Navy39  N°14.18852 E°86.11877
+2020-05-10-00.00.00 AirForce40  N°7.06631 E°88.82120
+2020-05-10-00.00.00 Army40  N°28.35255 E°78.85977
+2020-05-10-00.00.00 Navy40  N°8.10351 E°67.05222
+2020-05-10-00.00.00 AirForce41  N°8.70561 E°90.02524
+2020-05-10-00.00.00 Army41  N°16.44840 E°73.40550
+2020-05-10-00.00.00 Navy41  N°5.41344 E°74.92379
+2020-05-10-00.00.00 AirForce42  N°11.59820 E°93.76874
+2020-05-10-00.00.00 Army42  N°23.18484 E°75.15377
+2020-05-10-00.00.00 Navy42  N°3.31998 E°67.32685
+2020-05-10-00.00.00 AirForce43  N°0.58854 E°85.47363
+2020-05-10-00.00.00 Army43  N°14.30018 E°77.46048
+2020-05-10-00.00.00 Navy43  N°7.91202 E°105.96470
+2020-05-10-00.00.00 AirForce44  N°3.02474 E°87.83557
+2020-05-10-00.00.00 Army44  N°26.92500 E°77.70551
+2020-05-10-00.00.00 Navy44  N°4.20082 E°78.96372
